NC_015762.1_411;NC_015777.1_18125;NC_015768.1_8751;NC_015771.1_11825;NC_015772.1_14283;NC_015773.1_14909;NC_015778.1_18507;NC_015775.1_15859;NW_003565985.1_26226;NC_015777.1_17843;NC_015769.1_10192;NC_015770.1_11556;NC_015773.1_15238;NC_015778.1_18720;NW_003566858.1_37709;NC_015765.1_5591;NC_015770.1_10730;NW_003566135.1_29581;NC_015769.1_10121;NC_015762.1_1236;NC_015771.1_11678;bte-mir-1_MI0001575;MC65_None;bte-mir-9a_MI0001596;bte-bantam_MI0001574_;bte-mir-125_MI0001578;bte-mir-279b_MI0016201;MC37_None
LOC100649081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100649133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100649182;0;0;0;0;0;0;0;0;0.884527607172109;0;0;0;0;0;0;0;0;0;0;0;0;0.948914292095636;0;0.933708806388141;0.925505706556139;0.909101928103147;0;0
LOC100649239;0.807572607587501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100649251;0;0;0;0;0;0;0;0;0.858010582300378;0;0;0;0;0;0;0;0;0;0;0;0;0.915537596138084;0;0.933905228309949;0.869472404591526;0.931005339781381;0;0
LOC100649460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100649657;0;0;0;0;0;0;0;0;0.905862375313414;0;0;0;0;0;0;0;0;0;0;0;0;0.937969392592739;0;0.936093208589512;0.913331227670032;0.93312379711625;0;0
LOC100649750;0;0;0;0;0;0;0;0;-0.846016393303545;0;0;0;0;0;0;0;0;0;0;0;0;-0.899407590475111;0;-0.897761166816847;-0.863947776119642;-0.899903727842755;0;0
LOC100649882;0;0;0;0;0;0;0.832909508602277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.813820361285268;0
LOC100649916,LOC100650235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100650055;0;0;0;0;0;0;0;0;-0.919995788481663;0;0;0;0;0;0;0;0;0;0;0;0;-0.929722921604067;0;-0.926686110738955;-0.934227957948255;-0.927949748177427;0;0
LOC100650118;0;0;0;0;0;0;0;0;-0.922544876024455;0;0;0;0;0;0;0;0;0;0;0;0;-0.953840041664349;0;-0.939776156413453;-0.945600755555683;-0.93806986403669;0;0
LOC100650126;0;0;0;0;0;0;0;0;-0.889082909564572;0;0;0;0;0;0;0;0;0;0;0;0;-0.904831105298602;0;-0.880244451239531;-0.889647344447665;-0.879534654668211;0;0
LOC100650136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100650199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.809723685762492;0;0.835996356432083;0;0.82368320024621;0;0
LOC100650419;0;0;0;0;0;0;0;0;-0.936016836523275;0;0;0;0;0;0;0;0;0;0;0;0;-0.975607760005182;0;-0.956355786393655;-0.965754383890853;-0.945866891218373;0;0
LOC100650460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100650528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100650563;0;0;0;0;0;0;0;0;-0.923072794938087;0;0;0;0;0;0;0;0;0;0;0;0;-0.964179762706149;0;-0.958564617851736;-0.959194493875477;-0.949099471876722;0;0
LOC100650588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100650700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100650718;0.81048989041099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100650881;0.850624812340187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100650895;0;0;0;0;0;0;0;0;-0.911575836563133;0;0;0;0;0;0;0;0;0;0;0;0;-0.948244185476477;0;-0.93483654648937;-0.946785488871292;-0.922890969239887;0;0
LOC100650919;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100650937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100650995;0;0;0;0;0;0;0;0;-0.851611153131517;0;0;0;0;0;0;0;0;0;0;0;0;-0.888657415239479;0;-0.888917373813032;-0.886522883724218;-0.885304790489566;0;0
LOC100651026;0;0;0;0.836776355823597;0;0;0.860415635333618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.867698533955728;0
